"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"291","0026",35640,106,56840,"2022-04-18 06:36:31.910",43501
"292","0027",42148,234,56840,"2022-04-18 06:36:31.910",5064885
"293","0028",24480,64,56840,"2022-04-18 06:36:31.910",49748
"294","0040",42803,223,56840,"2022-04-18 06:36:31.910",8045047
"295","0044",17245,11,56840,"2022-04-18 06:36:31.910",252173
"296","0047",7706,4,56840,"2022-04-18 06:36:31.910",8091
"297","0048",4351,3,56840,"2022-04-18 06:36:31.910",9396
"298","03DF",28369,11,56840,"2022-04-18 06:36:31.910",383756
"299","0001",31957,127,56844,"2022-04-18 07:41:00.099",29092
"300","0003",38006,103,56844,"2022-04-18 07:41:00.099",138456
"301","0004",20835,149,56844,"2022-04-18 07:41:00.099",14595
"302","0005",42316,69,56844,"2022-04-18 07:41:00.099",1739845
"303","0006",6244,55,56844,"2022-04-18 07:41:00.099",17866
"304","0009",40978,193,56844,"2022-04-18 07:41:00.099",13594816
"305","000A",5126,4,56844,"2022-04-18 07:41:00.099",9033
"306","000B",2135,14,56844,"2022-04-18 07:41:00.099",8786
"307","000C",4879,14,56844,"2022-04-18 07:41:00.099",16947
"308","0010",3543,14,56844,"2022-04-18 07:41:00.099",50
"309","0021",42996,673,56844,"2022-04-18 07:41:00.099",3206802
"310","0022",23892,72,56844,"2022-04-18 07:41:00.099",224606
"311","0023",13521,83,56844,"2022-04-18 07:41:00.099",4641
"312","0024",19730,72,56844,"2022-04-18 07:41:00.099",2709
"313","0025",29414,159,56844,"2022-04-18 07:41:00.099",11261
"314","0026",35640,106,56844,"2022-04-18 07:41:00.099",48761
"315","0027",42150,234,56844,"2022-04-18 07:41:00.099",7021528
"316","0028",24480,64,56844,"2022-04-18 07:41:00.099",60365
"317","0040",42806,223,56844,"2022-04-18 07:41:00.099",7432468
"318","0044",17245,11,56844,"2022-04-18 07:41:00.099",199839
"319","0047",7706,4,56844,"2022-04-18 07:41:00.099",5337
"320","0048",4351,3,56844,"2022-04-18 07:41:00.099",7683
"321","03DF",28369,11,56844,"2022-04-18 07:41:00.099",245518
